Hour,Neighbor,EfficiencyMin
0,West of Twin Peaks,6.967741935
0,Visitacion Valley,9.573770492
0,South of Market,6.468315301
0,Seacliff,6.666666667
0,Presidio Heights,7.19047619
0,Potrero Hill,6.288888889
0,Pacific Heights,6.039473684
0,Nob Hill,4.795031056
0,Chinatown,6.676470588
0,Bayview Hunters Point,8.792792793
1,West of Twin Peaks,7.372881356
1,Visitacion Valley,9.105263158
1,South of Market,6.827586207
1,Seacliff,6.666666667
1,Presidio Heights,7.285714286
1,Potrero Hill,7.559322034
1,Pacific Heights,5.465116279
1,Nob Hill,4.540697674
1,Chinatown,5.5
1,Bayview Hunters Point,8.484162896
2,West of Twin Peaks,6.927272727
2,Visitacion Valley,10.26229508
2,South of Market,7.150943396
2,Seacliff,8.333333333
2,Presidio Heights,8.642857143
2,Potrero Hill,7.975609756
2,Pacific Heights,6.462962963
2,Nob Hill,4.787878788
2,Chinatown,6.629032258
2,Bayview Hunters Point,9.088105727
3,West of Twin Peaks,6.925
3,Visitacion Valley,8.914893617
3,South of Market,6.761336516
3,Seacliff,6
3,Presidio Heights,8
3,Potrero Hill,8.24137931
3,Pacific Heights,5.612244898
3,Nob Hill,6.042735043
3,Chinatown,8.307692308
3,Bayview Hunters Point,8.323943662
4,West of Twin Peaks,8.892857143
4,Visitacion Valley,8.375
4,South of Market,7.028901734
4,Seacliff,9
4,Presidio Heights,9
4,Potrero Hill,8.033333333
4,Pacific Heights,6.82
4,Nob Hill,6.16091954
4,Chinatown,5.526315789
4,Bayview Hunters Point,8.295774648
5,West of Twin Peaks,9.25
5,Visitacion Valley,9.065217391
5,South of Market,6.588424437
5,Seacliff,5
5,Presidio Heights,5.5
5,Potrero Hill,7.28
5,Pacific Heights,6.666666667
5,Nob Hill,6.268041237
5,Chinatown,7.6875
5,Bayview Hunters Point,8.025806452
6,West of Twin Peaks,7.627659574
6,Visitacion Valley,9.777777778
6,South of Market,7.704651163
6,Seacliff,5.8
6,Presidio Heights,9.333333333
6,Potrero Hill,7.549019608
6,Pacific Heights,7.463414634
6,Nob Hill,6.842105263
6,Chinatown,7.8
6,Bayview Hunters Point,8.633064516
7,West of Twin Peaks,9.119565217
7,Visitacion Valley,8.637681159
7,South of Market,7.598425197
7,Seacliff,7
7,Presidio Heights,6.890909091
7,Potrero Hill,8.24691358
7,Pacific Heights,7.709302326
7,Nob Hill,6.760683761
7,Chinatown,7.119402985
7,Bayview Hunters Point,7.857615894
8,West of Twin Peaks,7.952
8,Visitacion Valley,10.70114943
8,South of Market,7.967741935
8,Seacliff,7.125
8,Presidio Heights,8.230769231
8,Potrero Hill,7.961038961
8,Pacific Heights,8.271604938
8,Nob Hill,7.45112782
8,Chinatown,7.282828283
8,Bayview Hunters Point,8.03030303
9,West of Twin Peaks,6.761006289
9,Visitacion Valley,9.154545455
9,South of Market,8.410586552
9,Seacliff,5.125
9,Presidio Heights,6.588235294
9,Potrero Hill,7.103174603
9,Pacific Heights,6.431372549
9,Nob Hill,7.0234375
9,Chinatown,8.1875
9,Bayview Hunters Point,7.418478261
10,West of Twin Peaks,7.135802469
10,Visitacion Valley,8.095238095
10,South of Market,7.454545455
10,Seacliff,7.466666667
10,Presidio Heights,6.737704918
10,Potrero Hill,6.346153846
10,Pacific Heights,6.045801527
10,Nob Hill,6.954285714
10,Chinatown,7.925373134
10,Bayview Hunters Point,7.763959391
11,West of Twin Peaks,7.401197605
11,Visitacion Valley,9.87804878
11,South of Market,7.30738255
11,Seacliff,4.5
11,Presidio Heights,7.23880597
11,Potrero Hill,6.532786885
11,Pacific Heights,6.581632653
11,Nob Hill,7.331606218
11,Chinatown,6.73015873
11,Bayview Hunters Point,8.289215686
12,West of Twin Peaks,6.393258427
12,Visitacion Valley,8.212962963
12,South of Market,6.822829964
12,Seacliff,4.3
12,Presidio Heights,6.753846154
12,Potrero Hill,6.910569106
12,Pacific Heights,6.215686275
12,Nob Hill,5.65625
12,Chinatown,6.869863014
12,Bayview Hunters Point,7.883333333
13,West of Twin Peaks,5.747368421
13,Visitacion Valley,8.404494382
13,South of Market,7.300349243
13,Seacliff,5.416666667
13,Presidio Heights,7.526315789
13,Potrero Hill,7.131147541
13,Pacific Heights,5.519083969
13,Nob Hill,6.172774869
13,Chinatown,6.502824859
13,Bayview Hunters Point,8.306179775
14,West of Twin Peaks,7.384180791
14,Visitacion Valley,8.427350427
14,South of Market,7.224118316
14,Seacliff,5.857142857
